"Name","Color Identity","Times Seen","Times Picked","Pick Rate","Avg Pick Position","Wheel Count","P1P1 Count","Elo"
"Infernal Grasp","B","196","30","0.153","","","","1374"
"Three Steps Ahead","U","175","17","0.097","","","","1199"
"Kaito, Bane of Nightmares","BU","115","9","0.078","","","","1051"
"Securitron Squadron","W","237","23","0.097","","","","1220"
"Elite Spellbinder","W","206","19","0.092","","","","1163"
"Contaminated Landscape","BUW","222","20","0.090","","","","1042"
"Restless Spire","RU","234","21","0.090","","","","1227"
"Vaultborn Tyrant","G","238","24","0.101","","","","1177"
"Sunfall","W","276","27","0.098","","","","1081"
"Intrepid Adversary","W","222","24","0.108","","","","1260"
"Solitude","W","108","27","0.250","","","","1483"
"Ajani, Nacatl Pariah","RW","175","47","0.269","","","","1559"
"Pyrogoyf","R","181","38","0.210","","","","1463"
"Hullbreacher","U","100","20","0.200","","","","1507"
"Displacer Kitten","U","139","20","0.144","","","","1377"
"Drown in the Loch","BU","275","23","0.084","","","","1012"
"Gruff Triplets","G","271","29","0.107","","","","1179"
"Glimmer Lens","W","273","39","0.143","","","","1229"
"Undermountain Adventurer","G","100","13","0.130","","","","1347"
"Guide of Souls","W","184","35","0.190","","","","1445"
"Echo of Eons","U","218","23","0.106","","","","1195"
"Oliphaunt","R","201","23","0.114","","","","1275"
"Play with Fire","R","227","16","0.070","","","","1134"
"Xander's Lounge","BRU","212","26","0.123","","","","1341"
"Shattered Landscape","BRW","209","25","0.120","","","","1116"
"Indoraptor, the Perfect Hybrid","BGR","257","27","0.105","","","","1067"
"Amped Raptor","R","207","15","0.072","","","","1118"
"Giver of Runes","W","189","27","0.143","","","","1363"
"Screaming Nemesis","R","113","11","0.097","","","","1212"
"Spitting Dilophosaurus","B","173","16","0.092","","","","1225"
"Uro, Titan of Nature's Wrath","GU","162","24","0.148","","","","1477"
"Serra Paragon","W","257","27","0.105","","","","1230"
"Scrawling Crawler","","277","26","0.094","","","","1156"
"Smuggler's Surprise","G","254","19","0.075","","","","1142"
"Assaultron Dominator","R","241","17","0.071","","","","988"
"Nissa, Ascended Animist","G","165","15","0.091","","","","1242"
"Slickshot Show-Off","R","238","21","0.088","","","","1143"
"Chthonian Nightmare","B","199","11","0.055","","","","1071"
"Bridgeworks Battle","G","283","18","0.064","","","","1006"
"Searslicer Goblin","R","200","24","0.120","","","","1318"
"Fading Hope","U","217","15","0.069","","","","1106"
"Kellan, Planar Trailblazer","R","182","13","0.071","","","","1144"
"Abhorrent Oculus","U","173","15","0.087","","","","1105"
"Consider","U","179","16","0.089","","","","1178"
"Ledger Shredder","U","138","11","0.080","","","","1254"
"Once Upon a Time","G","181","20","0.110","","","","1315"
"Ocelot Pride","W","179","44","0.246","","","","1555"
"Sheltering Landscape","GRW","224","28","0.125","","","","1073"
"Evolved Sleeper","B","248","18","0.073","","","","1023"
"Relic of Sauron","BRU","255","18","0.071","","","","1092"
"Kitsa, Otterball Elite","U","206","18","0.087","","","","1192"
"Chainsaw","R","146","17","0.116","","","","1297"
"Endurance","G","262","29","0.111","","","","1186"
"Smirking Spelljacker","U","197","14","0.071","","","","1058"
"White Plume Adventurer","W","84","19","0.226","","","","1479"
"Ziatora's Proving Ground","BGR","239","27","0.113","","","","1111"
"Get Lost","W","243","38","0.156","","","","1323"
"Gut, True Soul Zealot","R","163","35","0.215","","","","1430"
"Shark Typhoon","U","221","19","0.086","","","","1226"
"Savai Triome","BRW","260","33","0.127","","","","1283"
"Galvanic Discharge","R","206","32","0.155","","","","1314"
"Esper Sentinel","W","118","12","0.102","","","","1336"
"Atraxa, Grand Unifier","BGUW","192","20","0.104","","","","1256"
"Augur of Autumn","G","159","18","0.113","","","","1138"
"Restless Reef","BU","240","27","0.113","","","","1193"
"The Wandering Emperor","W","200","33","0.165","","","","1303"
"Troll of Khazad-dûm","B","174","26","0.149","","","","1288"
"Shifting Woodland","G","233","20","0.086","","","","1074"
"Bloodbraid Challenger","GR","233","23","0.099","","","","1162"
"Third Path Iconoclast","RU","195","15","0.077","","","","1184"
"Wight of the Reliquary","BG","183","11","0.060","","","","905"
"Staff of the Storyteller","W","218","27","0.124","","","","1261"
"Prismatic Ending","W","277","40","0.144","","","","1226"
"Synth Eradicator","R","241","25","0.104","","","","1125"
"Phelia, Exuberant Shepherd","W","201","36","0.179","","","","1417"
"Sphinx of Forgotten Lore","U","221","18","0.081","","","","966"
"Caustic Bronco","B","230","24","0.104","","","","1102"
"Dress Down","U","294","22","0.075","","","","990"
"Twisted Landscape","BGR","226","24","0.106","","","","1121"
"Restless Vinestalk","GU","242","20","0.083","","","","1195"
"Robber of the Rich","R","219","18","0.082","","","","1076"
"Cryptic Coat","U","171","13","0.076","","","","1137"
"Zagoth Triome","BGU","199","23","0.116","","","","1223"
"Brainsurge","U","226","18","0.080","","","","1095"
"Restless Fortress","BW","283","26","0.092","","","","1073"
"Leyline Binding","W","267","21","0.079","","","","1117"
"Bloodtithe Harvester","BR","233","19","0.082","","","","1053"
"Tranquil Landscape","GUW","224","22","0.098","","","","1092"
"Questing Beast","G","178","29","0.163","","","","1221"
"Harvester of Misery","B","211","25","0.118","","","","1267"
"Restless Prairie","GW","298","20","0.067","","","","974"
"Mine Collapse","R","254","27","0.106","","","","1162"
"Novice Inspector","W","243","29","0.119","","","","1216"
"From the Catacombs","B","219","25","0.114","","","","1200"
"Otawara, Soaring City","U","221","16","0.072","","","","1158"
"Aragorn, King of Gondor","RUW","261","23","0.088","","","","1092"
"Torsten, Founder of Benalia","GW","296","20","0.068","","","","995"
"Perilous Landscape","RUW","204","19","0.093","","","","1110"
"Lion Sash","W","272","35","0.129","","","","1214"
"Comet, Stellar Pup","RW","136","35","0.257","","","","1571"
"Bristly Bill, Spine Sower","G","174","31","0.178","","","","1422"
"Bone Shards","B","255","24","0.094","","","","1136"
"Arena of Glory","R","231","21","0.091","","","","1175"
"Six","G","197","27","0.137","","","","1392"
"No More Lies","UW","267","31","0.116","","","","1187"
"Goldvein Hydra","G","201","27","0.134","","","","1281"
"Fell","B","133","14","0.105","","","","1211"
"Scythecat Cub","G","224","34","0.152","","","","1316"
"Unmarked Grave","B","297","36","0.121","","","","1210"
"Kiora, the Rising Tide","U","204","20","0.098","","","","1195"
"Ragavan, Nimble Pilferer","R","58","18","0.310","","","","1557"
"Nethergoyf","B","220","39","0.177","","","","1315"
"Carnage Interpreter","BR","153","16","0.105","","","","1279"
"Luminarch Aspirant","W","171","23","0.135","","","","1405"
"Goldspan Dragon","R","182","11","0.060","","","","1229"
"Voldaren Epicure","R","261","31","0.119","","","","1310"
"Emberwilde Captain","R","184","24","0.130","","","","1297"
"Adeline, Resplendent Cathar","W","197","25","0.127","","","","1300"
"Eiganjo, Seat of the Empire","W","259","23","0.089","","","","1178"
"Deceptive Landscape","BGW","205","10","0.049","","","","972"
"Raugrin Triome","RUW","199","19","0.095","","","","1349"
"Foreboding Landscape","BGU","203","17","0.084","","","","1188"
"Deep-Cavern Bat","B","155","15","0.097","","","","1177"
"Fury","R","84","17","0.202","","","","1504"
"Persist","B","257","41","0.160","","","","1286"
"Shadowspear","","243","27","0.111","","","","1231"
"Broadside Bombardiers","R","154","51","0.331","","","","1611"
"Unlicensed Hearse","","273","17","0.062","","","","1039"
"Usher of the Fallen","W","239","28","0.117","","","","1307"
"Seething Landscape","BRU","208","22","0.106","","","","1063"
"Virtue of Loyalty","W","235","26","0.111","","","","1221"
"Fabled Passage","","211","35","0.166","","","","1372"
"Palantír of Orthanc","","204","17","0.083","","","","1115"
"Duelist of the Mind","U","225","27","0.120","","","","1175"
"Tamiyo, Inquisitive Student","GU","146","27","0.185","","","","1512"
"Pre-War Formalwear","W","247","31","0.126","","","","1253"
"Lavaspur Boots","","260","21","0.081","","","","1107"
"Brazen Borrower","U","159","18","0.113","","","","1297"
"Cut Down","B","170","21","0.124","","","","1211"
"Generous Ent","G","217","22","0.101","","","","1206"
"Boseiju, Who Endures","G","218","20","0.092","","","","1198"
"Dauthi Voidwalker","B","155","17","0.110","","","","1314"
"Birthing Ritual","G","275","22","0.080","","","","966"
"Psychic Frog","BU","184","39","0.212","","","","1417"
"Raffine's Tower","BUW","231","26","0.113","","","","1226"
"Innkeeper's Talent","G","234","29","0.124","","","","1155"
"Malcolm, Alluring Scoundrel","U","189","19","0.101","","","","1168"
"March of Otherworldly Light","W","276","41","0.149","","","","1225"
"Fear of Missing Out","R","114","13","0.114","","","","1248"
"Feywild Caretaker","U","161","15","0.093","","","","1170"
"Fanatic of Rhonas","G","189","28","0.148","","","","1325"
"Indatha Triome","BGW","252","19","0.075","","","","1059"
"Bountiful Landscape","GRU","177","18","0.102","","","","1162"
"Grist, the Hunger Tide","BG","230","34","0.148","","","","1175"
"Ketria Triome","GRU","205","19","0.093","","","","1265"
"Restless Bivouac","RW","209","21","0.100","","","","1171"
"Barrowgoyf","B","199","50","0.251","","","","1457"
"Caves of Chaos Adventurer","R","114","21","0.184","","","","1349"
"Emperor of Bones","B","188","29","0.154","","","","1301"
"Concealing Curtains","B","254","24","0.094","","","","1150"
"Damn","BW","317","39","0.123","","","","1173"
"Phlage, Titan of Fire's Fury","RW","156","27","0.173","","","","1397"
"Jacked Rabbit","W","217","22","0.101","","","","1236"
"Sorin of House Markov","BW","262","29","0.111","","","","1210"
"Sandstorm Salvager","G","166","19","0.114","","","","1183"
"Dragon's Rage Channeler","R","188","18","0.096","","","","1211"
"Bloodchief's Thirst","B","206","24","0.117","","","","1168"
"Grief","B","107","17","0.159","","","","1397"
"Metamorphosis Fanatic","B","200","24","0.120","","","","1276"
"Lose Focus","U","180","18","0.100","","","","1222"
"Portable Hole","W","250","31","0.124","","","","1246"
"Jetmir's Garden","GRW","238","21","0.088","","","","1206"
"Inti, Seneschal of the Sun","R","139","24","0.173","","","","1369"
"Stern Scolding","U","204","23","0.113","","","","1258"
"Reprieve","W","176","31","0.176","","","","1336"
"Eagles of the North","W","270","32","0.119","","","","1015"
"Wrenn and Six","GR","173","34","0.197","","","","1405"
"Cankerbloom","G","273","26","0.095","","","","1158"
"Embercleave","R","222","20","0.090","","","","1113"
"Esika's Chariot","G","213","22","0.103","","","","1257"
"Tishana's Tidebinder","U","186","15","0.081","","","","1135"
"Legolas's Quick Reflexes","G","236","15","0.064","","","","1050"
"Syr Ginger, the Meal Ender","","170","10","0.059","","","","1090"
"Shorikai, Genesis Engine","UW","201","21","0.104","","","","1109"
"Passageway Seer","B","212","31","0.146","","","","1217"
"Restless Cottage","BG","263","21","0.080","","","","1011"
"Force of Negation","U","117","19","0.162","","","","1422"
"Faerie Mastermind","U","215","26","0.121","","","","1248"
"Restless Ridgeline","GR","229","21","0.092","","","","1134"
"Priest of Fell Rites","BW","291","27","0.093","","","","918"
"Andúril, Flame of the West","","247","22","0.089","","","","1157"
"Chrome Host Seedshark","U","169","13","0.077","","","","1141"
"Sheoldred's Edict","B","171","25","0.146","","","","1183"
"Restless Anchorage","UW","251","26","0.104","","","","1126"
"Reckoner Bankbuster","","254","33","0.130","","","","1281"
"Restless Vents","BR","232","20","0.086","","","","1116"
"Orcish Bowmasters","B","71","24","0.338","","","","1605"
"Sheoldred, the Apocalypse","B","78","21","0.269","","","","1554"
"Murktide Regent","U","189","17","0.090","","","","1095"
"Expressive Iteration","RU","161","12","0.075","","","","1065"
"Currency Converter","","218","22","0.101","","","","1270"
"Lórien Revealed","U","134","22","0.164","","","","1410"
"Sentinel of the Nameless City","G","159","23","0.145","","","","1297"
"Trumpeting Carnosaur","R","195","15","0.077","","","","1151"
"Strangle","R","180","11","0.061","","","","1162"
"Archon of Cruelty","B","194","27","0.139","","","","1345"
"Bonecrusher Giant","R","105","14","0.133","","","","1359"
"Unholy Heat","R","171","25","0.146","","","","1335"
"Spara's Headquarters","GUW","241","24","0.100","","","","1286"
"Seasoned Dungeoneer","W","100","26","0.260","","","","1443"
"Forth Eorlingas!","RW","90","22","0.244","","","","1476"
"Hexdrinker","G","120","20","0.167","","","","1434"
"Subtlety","U","161","19","0.118","","","","1310"
"Bitter Triumph","B","173","31","0.179","","","","1373"
"Delighted Halfling","G","129","21","0.163","","","","1349"
"Arwen, Mortal Queen","GW","271","23","0.085","","","","1022"
"Oko, Thief of Crowns","GU","76","16","0.211","","","","1521"
"Occult Epiphany","U","168","18","0.107","","","","1190"
"Urza's Saga","","105","12","0.114","","","","1308"
"Fable of the Mirror-Breaker","R","73","18","0.247","","","","1568"
"Minsc & Boo, Timeless Heroes","GR","105","31","0.295","","","","1614"
"Laelia, the Blade Reforged","R","84","12","0.143","","","","1383"
"Ignoble Hierarch","BGR","120","23","0.192","","","","1350"
"The One Ring","","80","27","0.338","","","","1623"
"Dreams of Steel and Oil","B","272","23","0.085","","","","1116"
"Dread Fugue","B","196","15","0.077","","","","1079"
"Gilded Goose","G","191","32","0.168","","","","1310"
"The Meathook Massacre","B","180","16","0.089","","","","1158"
"Headliner Scarlett","R","155","25","0.161","","","","1444"
"Skyclave Apparition","W","162","18","0.111","","","","1172"
"Agonasaur Rex","G","194","15","0.077","","","","1027"
"Greasewrench Goblin","R","177","18","0.102","","","","1260"
"Rabbit Battery","R","282","28","0.099","","","","1157"
"Winota, Joiner of Forces","RW","228","30","0.132","","","","1279"
"Keen-Eyed Curator","G","270","18","0.067","","","","988"
"Court of Garenbrig","G","162","14","0.086","","","","1218"
"Ursine Monstrosity","G","143","14","0.098","","","","1168"
"Overlord of the Mistmoors","W","219","25","0.114","","","","1292"
"Scrapwork Mutt","R","160","17","0.106","","","","1262"
"Prismatic Vista","","71","13","0.183","","","","1497"
"Touch the Spirit Realm","W","170","14","0.082","","","","1007"
"Malevolent Rumble","G","196","24","0.122","","","","1233"
"Biophagus","G","145","16","0.110","","","","1244"
"Forsaken Miner","B","132","8","0.061","","","","972"
"Ephemerate","W","251","24","0.096","","","","1181"
"Silent Clearing","BW","221","25","0.113","","","","1203"
"Strix Serenade","U","206","15","0.073","","","","1102"
"Floodfarm Verge","UW","221","25","0.113","","","","1124"
"Sunbaked Canyon","RW","183","19","0.104","","","","1239"
"Skewer the Critics","R","202","11","0.054","","","","1024"
"Blazemire Verge","BR","165","17","0.103","","","","1174"
"Light Up the Stage","R","246","25","0.102","","","","1117"
"Narset, Parter of Veils","U","148","21","0.142","","","","1370"
"Saw in Half","B","201","17","0.085","","","","1047"
"Snakeskin Veil","G","292","34","0.116","","","","1166"
"Tamiyo, Collector of Tales","GU","252","26","0.103","","","","1064"
"Tear Asunder","BG","252","26","0.103","","","","1127"
"Balustrade Wurm","G","205","13","0.063","","","","1041"
"Waterlogged Grove","GU","198","18","0.091","","","","1227"
"Sevinne's Reclamation","W","171","13","0.076","","","","1012"
"Hushwood Verge","GW","238","20","0.084","","","","1179"
"Wrath of the Skies","W","247","27","0.109","","","","1092"
"Nissa, Who Shakes the World","G","187","27","0.144","","","","1238"
"Tail Swipe","G","277","26","0.094","","","","973"
"Lethal Scheme","B","169","8","0.047","","","","1074"
"Fallen Shinobi","BU","200","19","0.095","","","","1194"
"Fell the Profane","B","170","17","0.100","","","","1186"
"Thornspire Verge","GR","185","18","0.097","","","","1156"
"Sedgemoor Witch","B","223","20","0.090","","","","1086"
"Black Market Connections","B","191","13","0.068","","","","1069"
"Nurturing Peatland","BG","235","22","0.094","","","","1073"
"Teferi, Time Raveler","UW","132","20","0.152","","","","1279"
"Sink into Stupor","U","164","18","0.110","","","","1257"
"Flare of Denial","U","195","22","0.113","","","","1216"
"Gloomlake Verge","BU","165","18","0.109","","","","1198"
"Ghost Vacuum","","202","16","0.079","","","","1159"
"Fiery Islet","RU","181","14","0.077","","","","1138"
"Mawloc","GR","140","19","0.136","","","","1306"
"Molt Tender","G","241","22","0.091","","","","1000"
"Improvised Club","R","203","9","0.044","","","","1018"
"Come Back Wrong","B","187","25","0.134","","","","1266"
"Chaos Defiler","BR","153","17","0.111","","","","1203"
"Ivora, Insatiable Heir","R","164","22","0.134","","","","1250"
"Static Prison","W","191","20","0.105","","","","1159"
"Overlord of the Balemurk","B","137","16","0.117","","","","1297"
"Ghostfire Slice","R","155","15","0.097","","","","1152"
"Knight of the Ebon Legion","B","156","11","0.071","","","","1050"
"Hydroid Krasis","GU","182","23","0.126","","","","1278"
"Swift Reconfiguration","W","193","21","0.109","","","","1172"
"Exorcise","W","200","23","0.115","","","","1141"
"Cori-Steel Cutter","R","66","12","0.182","","","","1407"
"Voice of Victory","W","89","15","0.169","","","","1416"
"Sinkhole Surveyor","B","105","16","0.152","","","","1289"
"Tersa Lightshatter","R","83","12","0.145","","","","1315"
"Elspeth, Storm Slayer","W","82","13","0.159","","","","1347"
"Descendant of Storms","W","113","9","0.080","","","","1205"
"Rankle, Master of Pranks","B","133","15","0.113","","","","1111"
"Pawpatch Recruit","G","146","14","0.096","","","","1125"
"Finale of Devastation","G","165","16","0.097","","","","1134"
"Witch Enchanter","W","141","19","0.135","","","","1210"
"Bleachbone Verge","BW","126","10","0.079","","","","1101"
"Generous Plunderer","R","92","9","0.098","","","","1179"
"Overlord of the Floodpits","U","120","10","0.083","","","","1136"
"Brightclimb Pathway","BW","148","16","0.108","","","","1090"
"Deep Forest Hermit","G","161","13","0.081","","","","1157"
"Triumph of Saint Katherine","W","121","12","0.099","","","","1169"
"Clearwater Pathway","BU","126","10","0.079","","","","1083"
"Winds of Abandon","W","168","21","0.125","","","","1222"
"Talisman of Curiosity","GU","146","15","0.103","","","","1132"
"Darkbore Pathway","BG","151","11","0.073","","","","1104"
"Loot, the Pathfinder","GRU","147","20","0.136","","","","1157"
"Marauding Mako","R","133","12","0.090","","","","1083"
"Summon: Good King Mog XII","W","165","16","0.097","","","","1003"
"Emry, Lurker of the Loch","U","122","8","0.066","","","","1015"
"Summon: Yojimbo","W","145","17","0.117","","","","1255"
"Talisman of Hierarchy","BW","168","17","0.101","","","","1059"
"Zirda, the Dawnwaker","RW","187","17","0.091","","","","961"
"Sunbillow Verge","RW","106","21","0.198","","","","1366"
"Seasoned Pyromancer","R","89","9","0.101","","","","1182"
"Sleep Magic","U","151","16","0.106","","","","1137"
"Alpha Deathclaw","BG","180","19","0.106","","","","1081"
"Omnath, Locus of Creation","GRUW","160","21","0.131","","","","1342"
"Blightstep Pathway","BR","122","10","0.082","","","","1178"
"Wastewood Verge","BG","150","16","0.107","","","","1064"
"Crabomination","B","161","18","0.112","","","","1190"
"Anointed Peacekeeper","W","167","20","0.120","","","","1226"
"Containment Construct","","154","10","0.065","","","","1034"
"Proft's Eidetic Memory","U","154","18","0.117","","","","1202"
"Branchloft Pathway","GW","178","9","0.051","","","","959"
"Yavimaya, Cradle of Growth","","127","11","0.087","","","","1175"
"Legion Extruder","R","117","14","0.120","","","","1253"
"Golos, Tireless Pilgrim","BGRUW","150","15","0.100","","","","1114"
"Suplex","R","119","16","0.134","","","","1307"
"Ulvenwald Oddity","G","140","12","0.086","","","","996"
"Cult Conscript","B","129","9","0.070","","","","1087"
"Enduring Innocence","W","114","13","0.114","","","","1336"
"Riverglide Pathway","RU","126","14","0.111","","","","1228"
"Talisman of Creativity","RU","124","10","0.081","","","","1138"
"Hengegate Pathway","UW","163","18","0.110","","","","1030"
"The Aetherspark","","114","10","0.088","","","","1185"
"Stormchaser's Talent","U","136","17","0.125","","","","1147"
"The Warring Triad","","136","11","0.081","","","","1094"
"Abundant Harvest","G","174","17","0.098","","","","1090"
"Buster Sword","","123","15","0.122","","","","1182"
"Willowrush Verge","GU","119","15","0.126","","","","1221"
"Stock Up","U","55","9","0.164","","","","1342"
"Needleverge Pathway","RW","116","14","0.121","","","","1192"
"Ugin, Eye of the Storms","","95","9","0.095","","","","1175"
"Scrounging Skyray","U","151","11","0.073","","","","992"
"Lurrus of the Dream-Den","BW","91","11","0.121","","","","1261"
"Barkchannel Pathway","GU","126","12","0.095","","","","1180"
"Talisman of Resilience","BG","172","23","0.134","","","","1168"
"Traveling Chocobo","G","100","10","0.100","","","","1205"
"Vivi Ornitier","RU","92","11","0.120","","","","1294"
"Starting Town","","85","13","0.153","","","","1360"
"Urza, Lord High Artificer","U","64","6","0.094","","","","1239"
"Preacher of the Schism","B","126","16","0.127","","","","1240"
"Thieving Skydiver","U","120","13","0.108","","","","1162"
"Gau, Feral Youth","R","100","12","0.120","","","","1306"
"Cragcrown Pathway","GR","127","10","0.079","","","","1140"
"Saheeli, Sublime Artificer","RU","106","14","0.132","","","","1236"
"Gingerbrute","","157","17","0.108","","","","1149"
"Sazh's Chocobo","G","108","6","0.056","","","","1037"
"Talisman of Conviction","RW","178","19","0.107","","","","1108"
"Forensic Gadgeteer","U","126","10","0.079","","","","1083"
"Jill, Shiva's Dominant","U","119","11","0.092","","","","1193"
"Stonecoil Serpent","","118","9","0.076","","","","1109"
"Overlord of the Hauntwoods","G","95","19","0.200","","","","1429"
"Surrak, Elusive Hunter","G","102","8","0.078","","","","1124"
"Gutterbones","B","144","12","0.083","","","","1022"
"Enduring Curiosity","U","115","10","0.087","","","","1190"
"Summon: Kujata","R","139","7","0.050","","","","1078"
"Old One Eye","G","100","10","0.100","","","","1265"
"Cecil, Dark Knight","BW","85","10","0.118","","","","1280"
"Cloud, Midgar Mercenary","W","136","13","0.096","","","","1128"
"Astrologian's Planisphere","U","74","7","0.095","","","","1210"
"Riverpyre Verge","RU","107","12","0.112","","","","1222"
"Monument to Endurance","","136","17","0.125","","","","1112"
"Nettlecyst","","134","11","0.082","","","","1091"
"Murderous Rider","B","125","13","0.104","","","","1166"
"Kappa Cannoneer","U","119","13","0.109","","","","1223"
"Overlord of the Boilerbilges","R","110","13","0.118","","","","1244"
"Lutri, the Spellchaser","RU","56","6","0.107","","","","1254"
"Sephiroth, Fabled SOLDIER","B","60","8","0.133","","","","1330"
